fixtureid,report,createdby,createdate
489,As everyone knows life is simply a metaphor for cricket. Cricket in April is rarely as wonderful as this. With Ballinger needing 9 off the last over with no wickets left## Bastie and Tom Graham cruised to a win with a single off the last ball. Fifties from Davies and Humphreys thrilled Aldenham village. High drama.,Nigel,2010-03-08
490,BWCC 215-7 Pelicans 171 AO,Nigel,2010-03-08
494,BWCC 211-9 Longwick 158-7,Nigel,2010-03-08
496,BWCC 238-5 Ley Hill 162 AO,,2010-03-08
577,<p>BWCC 152 AO Gaddesdon Row 153-8</p><p>After Penn Street's cancellation## Gaddesdon Row stepped in to fill the fixture on what looked like a very green pitch. Having lost the toss Ballinger were somewhat unexpectedly asked to bat first but it soon became apparent that runs would be hard to come by.</p><p>With Rick Brockett going early## Will Smith and Paul Humphreys consolidated well adding 54 for the 2nd wicket## but both run and over rate were painfully slow. When Will went for 30## no other batsmen showed the necessary patience on an uneven wicket to stay with Humphreys as GR held most of their catches (8 in total). In the end Ballinger were bowled out for 152 in 39 overs in just under 3 hours. Paul Humphreys and extras were the other major scorers with 53 and 38 respectively.</p><p>With only 152 to defend Ballinger had to bowl well again and both Jack Hankinson and Dom Birkby had the GR openers in trouble straight away. Dom took the first wicket after a high catch from Tom Maw and at 47-5 Ballinger looked in control## with Birkby taking a further 2 wickets## Humphreys taking 1 and George Kingston taking a good caught and bowled. Only Flynn troubled the scorers by edging his way to 25. However this brought O' Sullivan and Tyne together who both survived a couple of close LBW shouts early on. They put on 59 and suddenly GR were back in the match; however when Humphreys claimed the wicket of O' Sullivan## Tyne and J Woof soon followed leaving a tight finish in prospect. Unfortunately a couple more edges were found which went to the boundary and GR crossed the finishing line with the loss of 8 wickets. Stand out bowlers were Dom Birkby who took a 5 wicket haul on his return and Jack Hankinson who perhaps bowled too well and remained wicketless.</p>,Nigel,2010-03-08
518,Prestwood 188-6 BWCC 188-7</p><p>Skipper Kerry left Prestwood on Saturday with a feeling of another job not properly finished.</p><p> Playing the bottom of the league meant that the selction policy had been aimed more towards the youth end of the market rather than the over 50s end. This is fine if you have 11 players on the field but when one of the slightly older members (18) of the side doesn't turn up because he didn't know he'd been picked that makes life a bit harder.Add to that your opening bowler ( Ben Carlin) breaking down in the 3rd over and you definitely have a problem.</p><p> All the bowlers gave their best but it was difficult to get fielders in the right position when you weren't quite sure where the batsmen were going to hit the ball## and that had nothng to do with where it pitched.</p><p> Evan Webster(10-2-30) and new boy AJ Cooper (12-1-40) were the pick of the bowlers. Rob Rose ( 9-1-39) bowled another tidy spell and Michael Senior added some pace to the attack whilst exploring all areas of the pitch.</p><p> Prestwood's opener## Taylor## scored 71 in their 45overs and as he's 62 there's hope for Derek and Nigel yet.</p> Prestwood ended on 188-6.</P><p> With a limited amount of batting it was important tha Ballinger got off to a steady start. Unfortunately Derek Richards decided to see how far away from him the ball needed to be before he could hit straight to point.Jack Bull(13) then joined Will Smith in an enterprising 2nd wicket stand which gave the innings much needed impetous. When he was out out the score was 43 and the Waggoners were up with the run rate.Kerry joined Will Smith at the wicket and with a mixture of luck and skill slowly worked Ballinger into a good position. Will passed 50 for the 2nd match running and had once more shown incredible concentration and much skill##but had he left his skipper with too much to do? 73 off 13 overs was very attainable but how much batting was left? Michael Senior(14) helped add 21 in 5 overs then Bastie Richards and Kerry put on another 39.The pressure was mounting for both sides and with Evan Webster out on 180 in the penultimate over it was all down to the last over</p><p> Kerry on strike and 9 required to win. 1st ball big swipe and a miss## 2nd ball big swipe and a miss## 3rd ball proper shot and a 6.3 required of 3 balls and what does Kerry do off the 4th ball? He takes a single.This left Rob Rose on strike with the instruction to run at all costs## unfortunately he hadn't been told he also had to hit the ball. Run out! AJ in his first innings has to score 2 off the last ball to win the game. Sadly he only managed a single and the scores were tied</p><p> This Prestwood side were a far better team than we had played against before and although we should have won## there was no disgrace in coming away with a winning draw.</P>,Nigel,2010-03-08
479,<p> Occupation of joint top-spot in the MBL Premier Division was evidently a step too far for Ballinger's batsmen## and the match at home v Downley saw them tumble back to the real world. Matt Riley won the toss## and decided that our recent performances batting first were good enough for him to repeat the process. Alas## our run-machines Humphreys## McIntyre and Davies all had an off day## and the only bright spots in a rather shabby batting display were Matt himself## who played his way back into form after a very lean spell following his come-back from injury## making an invaluable 67## and a hard-hitting 27 by Tom Graham. We failed to bat out our overs## and the total of 146 was never going to worry Downley## who had 48 overs at their disposal. </p><p> Downley's batsmen showed how quick singles can pressurize a fielding side## and although their prolific openers were dismissed relatively cheaply## there was little joy thereafter for Ballinger's bowlers## not helped by some indifferent fielding. A rapid 3rd wicket partnership of 86 destroyed any hopes we might have entertained## and although two wickets fell late on## Downley sailed to 150-4 in only 29 overs. </p><p> Ballinger were deservedly beaten by far superior opponents## and need to bounce back quickly from this set-back. </p>,Nigel,2010-03-08
499,<p>Hyde Heath 213-9 BWCC 170-9</p><p>Ballinger made the short trip to Hyde Heath in what was billed as the big game of the weekend## never mind the Lions or Wimbledon## Hyde Heath was the place to be.</p><p>The day started well for Ballinger as captain Salisbury won the toss and elected to field. Soon both opening batsmen were back in the pavilion relatively cheaply with both Jack Hankinson and Dom Birkby bowling tightly. However this brought Shrimpton to the crease who mixed attack and defence to good effect and punished anything short or wide. He passed 50 in double quick time and held the Hyde Heath innings together as no other batsmen stayed long enough to form a considerable partnership. New boy Carlton Siddle was the chief destroyer bowled a miserly 11 over spell and taking 3 wickets. In the end Hyde Heath closed on 213-9 off 44 overs. Wickets were shared between Birkby (1)## Hankinson (3)## Siddle (3) and Humphries (2).</p><p>After tea the Ballinger reply got of to a great start with the opening pair of Paul Humphries and Will Smith. Both looked at ease on an increasingly friendly batting track and put on 93 for the first wicket before Paul bowled for 53. Unfortunately no one else could get the big score that was required to win the game and when Will was out for 47 it looked like Ballinger would have to settle for the draw## which they duly did ending on 170-9 from 40 overs. Other notable batting contributions came from Kellock (19) and Siddle (13).</p><p>In the end both teams played but in the end it would seem a draw was the correct result.</p>,Nigel,2010-03-08
480,<p> Playing at Holmer Green has never been at the top of Ballinger's wish-list## but for once the pitch behaved itself## which is more than can be said for the opposition's fielders## who seemingly pride themselves on a version of sledging from a few of their senior players## who one might think should know better##that verges on the offensive. That said## Ballingers's batsmen## batting first after losing the toss##spent most of their time ducking and weaving against fast and furious bowling## rather than worrying about the verbals. Openers Riley and Kellock had both departed by the time the score had reached 24 off 10 overs## but then Rollo McIntyre was joined by Ian Davies in an initially nervy but increasingly confident stand of 56 for the 3rd wicket## before Rollo fell for a hard-earned 40. Richard O'Kelly was next in## and helped Ian add 91 for the 4th wicket## before he went for an excellent 34. Ian then upped the tempo and was 83 not out when the 45 overs finished## a match-saving knock one might have hoped## giving us a total of 197-5.</p><p> By the time Holmer Green commenced their innings the clouds were threatening## and light drizzle gradually turned heavier## the ball turned into a bar of soap## and our bowlers found nowhere near as much life in the wicket as had the home bowlers. A further disadvantage was an injury to our steadiest bowler## Andy Thompson## which limited him to a mere 4 overs.Two interruptions saw us return in increasingly unpleasant conditions## but the wickets refused to come## a couple of dropped catches not helping. Holmer Green had reached 172 before their second wicket fell## with both K and B King making 50's## and although two more fell in quick succession thereafter## it was too late## and for the second week running we went down by 6 wickets. </p>,Nigel,2010-03-08
500,BWCC 198-6 Long Marston 199-6,Nigel,2010-03-08
503,<p>BWCC 228-7 Amersham Hill 228-5<p/><p>After last weeks no show from the opposition## Ballinger returned to action against Amersham Hill## albeit in a 40 over contest## on what turned out to be a nice sunny day## in complete contrast to the previous day's rainfall.<p/><p>Surprisingly## the ground had dried out well after the rain and Ballinger won the toss and## as usual## chose to bat first. However## this decision looked questionable as after just 2 overs both openers## Phil Lloyd and Jamie Kellock## had perished for ducks leaving Ballinger 4-2. All was not lost though## as Jamie had immediately worked out that Phil had faced fewer balls## thus avoiding the collection of match fees. Staring down the barrel Ballinger slowly began to rebuild with Paul Humphreys (35) and Jack Maciver pushing the score over 50 with a partnership of 53. Jeremy Hunting (25) and Tom Maw (9) continued the scoring## sharing partnerships of 67 and 37 respectively with Jack. Eventually## he fell for a very well made 79 where he was particularly proficient through the leg side. Late order runs from Graham Salisbury (14)## Nick Tegg (11*) and a blistering 29* from Basty Richards helped Ballinger reach 227-7 from their allotted 40 overs.<p/><p>In reply## Hill got off to what one might call an eventful start. Opening batsmen## Hedley## firstly called for the miniature sightscreens at each end of the ground to be moved a matter of millimetres and then secondly asked that Ballinger's Jimmy Gibbs be removed from the bowling attack for bowling 2 over head height no-balls. (Strictly true## but not really in the 'Spirit of Sunday Cricket'). This was not the end however## as Hedley was on his way back to the pavilion minutes later after being run out## trying to take on the tracer like arm of Jack Maciver. Meanwhile## a couple of balls later a very confident appeal for caught behind was turned down. And that was all in Jimmy Gibb's first couple of overs! At the other end Jack Maciver was operating less eventfully bowling a fast accurate opening spell applying pressure to the Hill batting line up. Soon enough 2 wickets had been taken## which brought Mackenzie and Telford to the crease. Early on it looked like both men would be dismissed relatively cheaply but as they survived a couple of dropped catches confidence grew## as did a partnership. Eventually## Mackenzie went for a 63 when he was caught low down by Maciver. Telford## though## carried on his more agricultural approach and bludgeoned his way past 50 and beyond## smashing many a ball out of the small ground and into the gardens. Unfortunately for him## he fell just 2 runs short of a quick fire century when bowled by Maciver. Collins soon followed for a duck (again bowled by Maciver) and Ballinger sensed the game was starting to swing back towards them. However## Joseph played a controlled innings of 29* to guide Hill home by 4 wickets## finishing on 228-6.<p/>,Nigel,2010-03-08
481,<p> One might have thought that bottom of the league Waddesdon## on winning the toss on a damp looking wicket at Ballinger## would opt to field first. Instead## they batted## and indeed batted very competently in the face of a Ballinger attack that was rather mundane. It was only by dint of two superlative catches## first by skipper Riley## then by Phil Lloyd## that the first two wickets were taken## by which time the score stood at 118 in the 30th over. Sadly## Phil injured his shoulder in the process## and with Nick Adams already having done his back in## we were short of bowling resources. Fortunately## Ian Maciver (4-49) was bowling well## supported by son Jack## and Andy Thompson (2-16)## himself bowling gingerly after last week's injury## and a target of 180'ish looked likely until an entirely unexpected assault by R Ullah## a teenager who looked much younger than his years and made 20 off only 9 balls.</p><p> Ballinger should really not have been troubled in chasing a total of 209 to win. However## Paul Humphreys gifted his wicket wafting at a wide ball. There followed an impressive partnership of 108 between Matt Riley and Rollo McIntyre## and when the latter fell for 68## the score was already 123 in the 29th over## ahead of the game. However## the light was deteriorating steadily## and the troublesome Mr Ullah appeared and proceeded to bowl extremely fast. Rain stopped play after 32 overs with Ballinger on 132## now behind on run-rate. 4 overs were lost## but more importantly so too was our momentum. Wickets fell quickly trying to speed the scoring rate## but with the loss of Riley (59) the task was beyond us## and at 167-8 after 41 overs the rain returned and left us with a very disappointing losing draw. </p>,Nigel,2010-03-08
482,<p> Winning the toss at Widmer End## skipper Riley lost no time in asking the opposition to bat on a damp looking wicket. His choice soon paid off## as Widmer quickly lost 2 wickets## one apiece to Nick Adams and Phil Lloyd## but then our usual nemesis Mr Degelas took root## and the score had reached 77 before the third wicket fell. Then##hooray## Degelas was bowled by Rollo for 57## following which the remaining batsmen collapsed in spectacular style## with Ian Maciver (6-20) the main destroyer## Rollo bagging 2-16## and the innings was concluded in the 34th over for 106.</p><p> Faced with making 107 in 56 overs## Ballinger then proceeded to make thoroughly hard work of the job. Opener Humphreys went early again## for only 5## but Matt Riley and Rollo put on 80 for the second wicket## when Rollo fell for 50## leaving Matt (35 not out in 43.2 overs !) and Ian Davies to finish matters off. </p><p> A win that looks good on paper## but achieved with little flair. Still## the points will do nicely... </p>,Nigel,2010-03-08
483,"""<p> The match started on time## though an ominous weather forecast indicated that play might not last for long. Invited to bat## Ley Hill lost an early wicket to Jack Maciver (whose first 5 over spell yielded 3 maidens## 1 wicket for 2 runs!) The second wicket did not fall until the score stood at 56## shortly after a stoppage for rain## when there was the rare sight of three batsmen bowled playing-on## two of them to consecutive deliveries by our """"born-again"""" bowler Rollo. Two more rain breaks## and Ballinger's bowlers were struggling with slippery run-ups and a soggy ball## and did well to get Ley Hill all out for 135## three overs short of the revised 40 overs maximum. Rollo and Ian Maciver each picked up 3 wickets## and Jack Maciver 2. </p><p> Tea was taken early in the hope of better weather to come## but the clouds were even more ominous as Ballinger's openers reached the crease. Six overs later## with 13 on the board## rain and murky light drove the players off## and within minutes puddles were spreading across the square. </p>""",Nigel,2010-03-08
484,"""<p> Another damp track to contend with## after a wet week## so no surprise that Ballinger were asked to bat first. Matt Riley and Paul Humphreys gave us a good start## with an opening stand of 67## before Paul was bowled for a confident looking 36. Three more wickets went down for the addition of only 20 more runs## and then## with five gone for 106 in the 32nd over## the innings was looking distinctly shaky. Enter Jack Maciver## who calmly kept the scoreboard ticking## while two more wickets fell## ending undefeated with a vital 46 when the overs ran out## and the total stood at 162-7.Probably 25 runs short of a really competitive score## we feared. </p><p> The Lee started badly## losing a wicket to Phil Lloyd's second ball. With Jack Maciver bowling as meanly as ever## the scoreboard crept along## but the worry was that we were very short of bowlers## and Paul Humphreys was called up for his first Saturaday bowl of the season. L Rafferty and Jon Swain were both batting with increasing confidence## and had reached 79 before Swain was bowled by Jack## a wicket as vital as his batting earlier. The Lee still appeared confident of victory## but had counted without the notable """"death bowling"""" of Ian Maciver## who is making a speciality of inducing batting collapses. None more remarkable than the way he finished off this innings## with 5 wickets in 9 deliveries !! </p><p> An extremely satisfying victory against our local rivals by a Ballinger side beset by unavailability of regular players## but grateful for the resources supplied from the Seconds. Thank you## Nigel ! Also a mention for a """"first"""" - Matt's three catches - we enjoyed the jug afterwards## thanks Matt. </p>""",Nigel,2010-03-08
485,<p> BWCC 222 all out Ibstone 195-9 (all out)</p><p> Matches against Ibstone are liable to be high-scoring affairs - the previous fixture was lost by Ballinger defending in vain a total of 197-6## having been invited to bat first## but it was a close-run thing## with Ibstone wobbling badly towards the end of their chase. This Saturday##things went rather differently. Firstly## Ballinger enjoyed their first century opening partnership of the season - Paul Humphreys(60) and Matt Riley (85) putting on 105 together##at a rapid rate of 5 an over## with Humphreys in dominant## if occasionally lucky## form. Thereafter## apart from an attractive cameo 22 from Ian Davies the remaining batsmen all contrived to get themselves out without reaching double figures## whilst Matt held the innings together## being fifth out when the score was 187. Ibstone## fielding only 10 men## held their catches well and fielded impressively## and Ballinger's final total at 45 overs of 222 all out looked vulnerable on a good batting track. </p><p> Ibstone set off after their target as if they had a plane to catch. Despite their losing an early wicket to Nick Adams## the score fairly rattled along## with opener Redrup in magnificent form. Unfortunately for Ibstone their early batsmen were simply too impatient## and courtesy of two fine catches by Charlie Wells## they were soon 60-3## but with only 10 overs gone. Ballinger's under-strength bowling was suffering## with Jack Maciver## unusually## having a bad day even though he bagged a couple of wickets. When the next wicket fell Ibstone had reached 157 in a mere 22 overs## and Ballinger were staring down the barrel. But it was the key man Redrup who perished for a superb 121## clean bowled taking an ill-considered swing at a good delivery from Ian Maciver. That proved the turning point. The Ibstone wobble reappeared## and Paul Humphreys (4-38) and Ian Maciver (1-24) took control## with Nick Adams reappearing to finish with 2-44. </p> <p>Ibstone ended 28 short of their target## and with only 38 overs gone## had they adopted a less cavalier approach## they could surely have made it. A fine win## though## for Ballinger## and one that keeps them hard on the heels of league leaders Knotty Green. </p>,Nigel,2010-03-08
519,BWCC 187-8Aylesbury 189-5 <p> Skipper Kerry new this was going to be a tough one and it would have helped if he could have won the toss</P><p> it would also have helped if he had 11 players. Another avoidable cockup.</P><p> None of the batsmen looked in any trouble but against a tight bowling attack on a very good pitch most got themselves out. Will Smith top scored with 34## Nick Tegg(28) ## Jack Hankinson(29)and Ben Carlin( 21)all added valuable runs but 187 was never going to be enough.</P><p> Jack Hankinson( 3-43) did his best but with the wicket playing well and the Aylesbury batsmen prepared to chance their arm it didn't take long for them to knock off the runs</P>,,2010-03-08
520,BWCC 60- 10 ib 35 oversWaddesden 64-6 in 19 overs<p> If ever a toss decided a match this was it and skipper Kerry wasn't the most popular member of the team when he informed his team mates that they were batting.</P><p> It was dreadful and the home side didn't need the help of some interesting umpiring decisions to make life difficult for the Waggoners. After 16 overs two of the clubs more aggressive batsmen in Peter Petrie and Jeremy Hunting had managed to acquire 27 runs between them. The wicket was drying out and was obviously going to be easier to bat on later but that wasn't any good to us as we all contrived to get out leaving us on only 60.</P><p> This was never likely to be enough and a few lust blows from some of the early Waddesden batsmen made it look even easier but the team stuck at it and and managed to get the home side 6 down again with some help from the umpire. Sadly it was all over in the 19th over and the skipper was to blame!</P>,,2010-03-08
521,<p>Cadmore End 143 -10BWCC 145 - 4</p> <p>Having seen the whole square under water on Friday skipper Kerry was keen to win the toss and let the visitors have first go on what could only have been described as a slow wicket. When he lost but the oppo still elected to bat first he had to ask if he'd heard correctly</p> <p>It was impossible to decide what was going to be a winning score so when the vistors started off at around 3 an over and had posted 50 by the 16th Ballinger weren't sure whether they had control or not. Ben Carlin removed their danger man Dutton and then the first wicket for the 2s for Max Maciver followed by a bizarre run out got Bllinger back in the game. The introduction of Tom McIntyre changed the whole innings. He took 5 - 17 in 5 overs of high quality leg spin. Cadmore were thus bowled out for 143.</p> <p>Cadmore's bowling was some what eratic and the 23 extras helped</p>,,2010-03-08
504,<p>The Lee 164 AO BWCC 138-7<p/><p>On a day when the construction of the Tower of Pisa began 836 years ago and Edward VII was crowned king of the United Kingdom a mere 107 years ago exactly## Ballinger faced their battle Royale as they played near neighbours## The Lee## for only the third time this weekend (both Saturday teams had done battle the day before). The scene was set and so it started## as The Lee won the toss and chose to bat and bat and bat…<p/><p>After an intense pre-match warm up## which didn't include 5-a-side football## Ballinger took to the field with a good mix of youthful enthusiasm and experience and no little confidence after the heroics of both Saturday sides the day before. Jack Maciver took the new ball and was right on the money straight away as he started off with 2 maidens; meanwhile## at the other end Tom Maw operated equally efficiently and was soon ripping into The Lee's top order with his pace and steepling bounce. Well## not really. However## his sedate medium pace did cause a few problems and was rewarded with the wickets of Phelps and Channer. Jack kept up his tight line## but unfortunately## remained wicketless from his first 5 over spell. His replacement from the 'White Hut' end was Jamie Kellock## who rolled back the years to bowl a miserly 9 over spell which kept the squeeze on The Lee's score. However## enter P Neal## ex-Hertfordshire captain and apparently the star of The Lee's batting line up. He quickly moved onto 28 and looked likely to help The Lee recover from a shaky start. But he had not counted on a perfectly concocted plan by bowler Kellock and captain Salisbury which put paid to that. A perfectly disguised longhop was creamed straight to short midwicket into the grateful hands of Salisbury (he hasn't dropped a catch in 4 years did you know?). 3 wickets down soon became 4 as that man## Kellock## did it again as Jones was bowled by a ball that sent the leg stump cart wheeling into the next county. Once the medium pacers had had enough## mainly due to tiredness## the spin quartet where brought on to try and tidy up The Lee's lower order. However## father and son combination of John and Julian Swain had other ideas and they steadily accumulated runs. Jake 'little man' Cutter bowled better than his figures suggested but it was Ballinger's very own father and son combination that finished off The Lee. Max Maciver broke the Swain's partnership as he had John Swain caught by resident slip fielder Paul Humphreys. Soon enough father## Ian Maciver## rattled through the lower order which included Julian Swain for a patient 36. With no sign of a declaration in sight Ballinger eventually finished off The Lee for 164## at roughly 5.03PM having bowled 48.1 overs precisely.<p/><p>After a well needed tea Ballinger set about trying to chase down 164. Usually this would be a score that the home side would be confident of chasing down but a combination of limited overs to do it in and the fact they were 14-3 in the 9th over put paid to this. Young Henry Quinn bowled very well (1-6 off 5) and the slightly older Neal made runs very hard to come by as Ballinger were trying very hard to emulate the success## or lack of it## of the England cricket team. Even the stinging Yorkshire words of Geoffrey Boycott could be heard as star bowlers## Kellock and Maw## were out in quick succession to balls that Boycott's grandmother could have hit with a stick of Rhubarb. Anyway## never fear## Jack Maciver continued his ridiculously good batting form of late and helped add 76 for the 4th wicket before his Dad Ian fell for 37. While Jack made batting look a breeze## further wickets fell with Max Maciver (11)## Salisbury (0) and Richards (0) leaving Ballinger 114-7. However## the injured warrior Jeremy Hunting hobbled out## with the aide of a runner (after pulling a hamstring when fielding)## to mostly pad## and occasionally bat## Ballinger to a well deserved draw. He ended on 6*## Jack on a chanceless 59* and Ballinger on 138-7.<p/><p>On reflection it was a fair result on another scorching hot day for cricket. The local derby that had been billed by the national papers as 'The Clash of the Titans' had ended in a not so memorable draw## but special mention goes to Jack Maciver who took his tally to 105 undefeated runs for the weekend against The Lee. (That will do his average no harm at all!).<p/>,Nigel,2010-03-08
505,<p>BWCC 159-9 Cublington 120 AO<p/><p>Exactly a year ago Usain Bolt broke the 100m world record in Beijing; exactly a year later he did it again in Berlin to become the undisputed king of the track. 32 years ago## to the day## Elvis Presley died at his home and was crowded the King of rock and roll. Sunday's match against Cublington gave Ballinger the chance to welcome back two of their very own royals: Will Smith - Prince of Ballinger and Dom Birkby - King of the no-ball. Anyway## onto the match. After both Saturday sides won## the pressure was on to make it a perfect 3 and this duly occurred when Ballinger recorded an ultimately comfortable 39 run victory.<p/><p>Winning the toss## Ballinger had no hesitation in batting first on a wicket that looked as green as the outfield but defied its initial inspection to play consistently throughout the match. The little and large combination of Prince Will and Paul Humphreys opened up for Ballinger and initially runs were hard to come by as Cublington's opening bowlers bowled generally a tight line. At 20-0## just as Humphreys was beginning to get into his stride## he was adjudged LBW for 11 after a slow death that Rudi Koertzen would have been proud of. Things did not get much better as 20-1 soon became 32-2 and then 42-3 as the well-oiled Ballinger machine began to splutter along as Jack Maciver (10) and Fally (3) fell quickly. Some partial relief then followed as Jeremy Hunting (6) and Prince Will shared a partnership of 26 but when Jeremy was out at 68-4 Ballinger were staring right down the barrel. Joining Prince Will at the crease was Tom Maw and these two steadily went about trying to re-build the innings. Prince Will was batting very sensibly and showed what could be done with a bit of patience and soon enough brought up a very well deserved 50## though not before he hit his first 6 in senior cricket. Those that have batted with the diminutive right hander will know that his life long ambition is to hit a straight six## unfortunately for him it was not a straight hit but one that went sailing over square leg## but they all count. Whilst Will went past 50## Tom Maw supported him and hit a couple of lusty blows in his patient 24 before they both perished trying to go for one big shot too many. However## 62 were added for the 5th wicket and at 130-5 the platform was set for some late order impetus. Unfortunately## this did not really materialise as only Mr No-Ball himself## Dom Birkby## got into double figures with a very useful 16* allowing Ballinger to declare on 159-9. Credit must go to Cublington who managed to bowl 46 overs in the allotted time.<p/><p>After tea## Cublington seemed confident of chasing down the Ballinger total as the pitch was still in good condition. And at first the Cublington freight train was steaming along as openers P Orchard and Burton rattled along dispatching the bowling all around the ground. Once Orchard was out## (to Birkby for 4)## wickets started to fall at regular intervals as the Cublington freight train started to hit the buffers## though at 72-2 they were still in with more than a chance. However## the decision by stand-in skipper Ian Maciver to bring on Humphreys from the 'football ground' end perhaps changed the course of the match. His 4 over spell claimed the vital wickets of Burton## for a stylish 46## Mitchell and Farr leaving Cublington teetering on the brink at 96-7. At this point the spin twins of Max Maciver and Basty Richards were brought on and both showed considerable control and guile in the face of older opposition## slowing the freight train almost to a stop. Max's first over was tight as ever while Basty's shall now be christened 'Basty's magical over'. With one over to go before drinks Waugh was the batsman and Richards the bowler. This was not a West Indies vs. Australia match of yesteryear and nor was it at the MCG or Antigua## but Basty bamboozled the batsmen showing the sort of form that bagged him thousands of wickets last year. With 2 balls of the over remaining## the batsmen feigned to charge down the wicket## undeterred Basty bowled a ball of good line and length and induced Waugh into another false stroke but this time it was a top edge straight into the reliable hands of Nick Tegg at gully. The double figure crowd were in raptures! And to top things off## the batsman's follow through resulted in the bat crashing into his head - that is why helmets are useful. Meanwhile at the other end Max toiled away with absolutely no luck whatsoever## with the ball missing bat## pad and stumps by centimetres on numerous occasions and he certainly deserved better figures than 1-14 off 8 overs. 23 were added for the 8th wicket as Squires and Barker delayed the inevitable but as soon as Max trapped Barker in front for 19 the game was over as Basty polished off the Cublington lower order## the final wicket being that of P China who tried to smash the ball to China but only ended up offering up a chance for Fally to show us his rather good juggling skills before finally grabbing hold of the ball on about the 12th attempt.<p/><p>Overall another satisfying performance with everybody in the team contributing. Brief mentions go to Rick Brockett who kept tidily and Dom Birkby who bowled well to collect 3 wickets on his brief return to Ballinger before going on holiday and missing more games. I doubt we'll see him again. Lets hope this good run of form continues next week as we visit Little Gaddesdon.<p/>,Nigel,2010-03-08
486,"""<p> Monks Risborough 148 BWCC 87 </p><p> Another toss won by BWCC## on a gloriously warm## sunny afternnon## and skipper Ian Davies asked lowly Monks Risborough to take first knock on a green-looking strip## although he must have feared what their famously aggressive batsmen might do to a bowling line-up missing the Macivers amongst other regulars.But as his batting was equally denuded## it was a risk worth taking. As things turned out## the Ballinger bowlers did a good job in restricting Monks to 148 all out in 42 overs## with Ian Davies## surrendering the gloves to Richard O'Kelly## taking 4-32## and Tom Graham mopping up the tail with 3-27. Ballinger excelled in the field## with some smart catches## notably a blinder by Tom Maw##and a neat stumping by O'Kelly (should have been two## rumour has it !) </p><p> After a lonely tea break (the opposition being absent due to the rigours of their Ramadan fast)## Ballinger's batsmen set about what should have been a very feasible target## with 48 overs in hand. Sadly## Monks' bowlers had other ideas## and were far too penetrative for Ballinger's flimsy efforts. Both our """"bankers"""" ## Paul Humphreys and Ian Davies perished rapidly## and although Richard O'Kelly hung on in for nearly an hour for 8## no-one else looked like getting on top of the bowling until a spirited last wicket stand of 30 between 13 year old debutant Josh Livingstone## who made a very assured 22 not out## and Nick Adams (14). 87 all out in 41 overs was a pretty lamentable effort for runners-up hopefuls versus relegation candidates. But that's cricket. Hopefully the return of some of our absentees will give the side more success in the final league match## against leaders Knotty Green. </p>""",Nigel,2010-03-08
525,Frieth 181-10BWCC 111 -10<p> A beautiful day and it looked like it was going to be hot but skipper Kerry wasn't sure about the pitch so## now he was back into the groove of winnning the toss## asked Frieth to have a bat</P><p> The Tom and Harry show did us proud by only conceding 30 runs between them in their 11 overs with Tom picking up the one wicket. Evan then bowled a tight spell of five overs during which he had to endure the umpire giving wides against him him then explaining what Evan was doing wrong.Tim got in a cheeky 3 overs 1-17 but it was good to see Batsie back to his wicket taking best. 4-55 was a fair reflection but most concerning was the amount of turn he was getting. - They thought they had problems at the Oval.</p><p> Hary Bartlett bowled with a really bad back and only took 2 wickets in his 6 overs but once again the star of the show was 'Full Toss' Rose. His double act with Bastie at short fine leg was too much for the opposition and they subsided to just 181</P><p> Derek and Harry set off in hot pursuit but it soon became apparent that the wicket was going to be too slow to make run scoring easy.Harry's demise with the score on 32 opened the flood gates and only a bit of a flurry from the tail gave any respectability to the score.<p> It appears that a team consisting of 3 adults and 8 boys isn't going to be strong enough to win matches at this level - at the moment. Another year down the line all the boys who have played this year wil have gained enough experience to move the side forward next year.</P>,,2010-03-08
523,<p>The Lee 213-8BWCC 132 -8</p> <p>This was always going to be a difficult one with only three adults in the side and so it proved.</p> <p>The Lee batted first and were soon rattling along at nearly 6 an over. The introduction of Rob Rose( 1-32)brought som sense to the carnage but it wasn't until Tom McIntyre got into the action did Ballinger get any control over things. His 4-40 was another excellent spell of leg spin. Unfortunately by this time The Lee were on their way to a decent score finishing on 213 in their 45 overs.</p> <p>In reply The Waggoners were laways going to be up against it wit only 3 adults in the side. Derek Richards(31) and Paul Rose ( 49) did their best but both were out to the wiles of Guy Morgan.</p> <p>By the 31st over Ballinger were 8 down and looking down the barrel but Evan and Rob Rose managed to frustrate the visitors by batting for the last 9 overs and thus earning a draw.</p> <p>A miss match in terms of the score but all the boys did well again</p> <p>&nbsp;</p>,,2010-03-08
